created_at,source_hash,event,closing_odds,closing_probability,clv_probability,method,clv_percent
2026-07-17T08:17:03+00:00,df504c0452d29331533aa5d1,Sandefjord vs HamKam,,,,source_hash,
2026-07-17T08:17:03+00:00,6ab37b23cff9771f030c2767,Sarpsborg FK vs Viking FK,,,,source_hash,
2026-07-17T08:17:03+00:00,0e08f2d74df2729a0bf3b8b0,Västerås SK vs Degerfors IF,,,,source_hash,
2026-07-17T08:17:03+00:00,943a0e27354f33a1d60fdc66,Malmo FF vs IFK Goteborg,,,,source_hash,
2026-07-17T08:17:03+00:00,7e100a08c2216d0202332f8d,GAIS vs IF Elfsborg,,,,source_hash,
2026-07-17T08:17:03+00:00,cb3e6587200eab33c7d9b566,IF Brommapojkarna vs IK Sirius,,,,source_hash,
2026-07-17T08:17:03+00:00,0755183ef0289eb0063b0411,Norway vs England,,,,source_hash,
2026-07-17T08:17:03+00:00,31fdce39f64aa5342b03b4cc,Sarpsborg FK vs Viking FK,,,,source_hash,
2026-07-17T08:17:03+00:00,7709da5e7c09ec5afd758115,Rosenborg vs Kristiansund BK,,,,source_hash,
2026-07-17T08:17:03+00:00,88bbca62f26e150e23500a5a,Malmo FF vs IFK Goteborg,,,,source_hash,
2026-07-17T08:17:03+00:00,65be934425f27d901a38517e,KFUM vs Bodø/Glimt,,,,source_hash,
2026-07-17T08:17:03+00:00,5923bdee8ccb16a08cd11877,Västerås SK vs Degerfors IF,,,,source_hash,
2026-07-17T08:17:03+00:00,3c4330ca5f6386cedcaa08f2,Sandefjord vs HamKam,,,,source_hash,
2026-07-17T08:17:03+00:00,02f1b3299b7b2c220f64be57,IF Brommapojkarna vs IK Sirius,,,,source_hash,
